"time","tx_b","rx_b"
1,0,0
2,0,0
3,0,0
4,70,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,17568,5061
60,48990,9968
61,29945,7345
62,23412,6981
63,32607,7613
64,27870,7712
65,25467,7783
66,34287,7401
67,29415,7712
68,27315,7613
69,37418,7323
70,43581,7448
71,26426,6491
72,25556,6383
73,55319,7518
74,40438,7056
75,22563,6483
76,29505,7208
77,43861,7340
78,28381,8480
79,32386,7398
80,40910,7522
81,23210,6696
82,26066,6978
83,66263,8145
84,35899,6684
85,35445,7675
86,54214,6104
87,49839,5386
88,27651,6284
89,33418,5523
90,10809,2203
91,59726,6886
92,72337,7652
93,43457,7617
94,34375,5948
95,89100,8512
96,81118,7526
97,36724,6455
98,36536,4066
99,80574,9353
100,60275,5590
101,62407,6216
102,13451,1680
103,82000,8525
104,76834,9360
105,90350,7596
106,59688,7840
107,57390,5805
108,40729,6044
109,82013,7024
110,73072,8956
111,62211,7581
112,59833,8156
113,83976,8442
114,68999,9867
115,89240,11380
116,60135,6658
117,65798,9134
118,46361,5999
119,47990,6653
120,76337,8516
121,29989,5354
122,9684,1076
123,41867,7727
124,53242,6329
125,68953,8530
126,30697,5865
127,29164,4462
128,53555,6922
129,65851,7608
130,54151,8076
131,55620,8663
132,48020,6660
133,43432,6226
134,40879,7575
135,46303,7900
136,55747,7786
137,19813,3794
138,30098,6014
139,32794,6993
140,46398,7756
141,29090,7282
142,31386,6571
143,42738,7180
144,26373,6566
145,37886,6758
146,38558,6968
147,41558,7330
148,40260,7232
149,59673,9551
150,52009,7906
151,40848,6918
152,34969,6943
153,58394,8464
154,33450,6787
155,7636,2027
156,37922,7117
157,51821,7490
158,32150,6992
159,30872,6627
160,35140,6922
161,49829,8094
162,27153,6792
163,30694,6721
164,44651,7268
165,31602,7872
166,29128,6992
167,43333,7912
168,20821,5868
169,32057,8072
170,55036,9472
171,25145,7698
172,0,0
173,0,0
174,0,0
175,0,0
176,0,0
177,0,0
178,0,0
179,0,0
180,0,0
181,0,0
182,0,0
183,0,0
184,0,0
185,0,0
186,0,0
187,0,0
188,0,0
189,0,0
190,0,0
191,0,0
192,0,0
193,0,0
194,0,0
195,0,0
196,0,0
197,0,0
198,0,0
199,0,0
200,0,0
201,0,0
202,0,0
203,0,0
204,0,0
205,0,0
206,0,0
207,0,0
208,0,0
