"time","tx_b","rx_b"
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,30310,11225
124,80597,19340
125,68154,18601
126,65945,20294
127,65098,19872
128,97937,21009
129,113167,21372
130,78456,20702
131,78336,22525
132,93941,21649
133,121793,22220
134,143040,22035
135,87173,17575
136,181509,21595
137,138078,18583
138,110113,14137
139,3898,1397
140,10569,2676
141,130609,15788
142,189056,20238
143,196436,21907
144,65681,8821
145,156148,17190
146,126607,14162
147,136526,16528
148,163308,20523
149,126208,15381
150,137996,19256
151,144240,19700
152,87665,13465
153,120807,15524
154,104433,18804
155,158212,20815
156,148849,22005
157,149511,24741
158,42629,10286
159,134304,26937
160,131821,26779
161,123897,22983
162,4117,924
163,90949,17810
164,103705,19293
165,110258,19327
166,97716,19155
167,88301,16854
168,89393,20899
169,91383,20620
170,95349,23130
171,91022,21458
172,105598,21852
173,100539,21050
174,81948,20918
175,36988,7390
176,68274,17867
177,88708,21217
178,88351,20156
179,107629,21130
180,25893,8369
181,8603,1041
182,48112,8715
183,97708,22877
184,93841,22042
185,104489,19686
186,80452,19204
187,97344,23017
188,81392,20224
189,95467,20854
190,81376,20441
191,63664,15714
192,97688,22474
193,126277,22746
194,112231,21836
195,103195,22581
196,53040,7744
197,26179,7781
198,123948,21444
199,134234,21760
200,109543,20798
201,66824,10016
202,5444,1408
203,83479,17548
204,111386,21466
205,116690,19425
206,126564,22091
207,126145,22226
208,145406,23142
209,150435,24229
210,150462,22043
211,127576,21861
212,126356,23129
213,155768,23110
214,111008,20729
215,2312,198
216,0,0
217,0,0
218,0,0
219,0,0
220,0,0
221,0,0
222,0,0
223,0,0
224,0,0
225,0,0
226,0,0
227,0,0
228,0,0
229,0,0
230,0,0
231,0,0
232,0,0
233,0,0
234,0,0
235,0,0
236,0,0
237,0,0
238,0,0
239,0,0
240,0,0
241,0,0
242,0,0
243,0,0
244,0,0
245,0,0
246,0,0
247,0,0
248,0,0
249,0,0
250,0,0
251,0,0
252,0,0
253,0,0
254,0,0
255,0,0
256,0,0
257,0,0
258,0,0
259,0,0
260,0,0
261,0,0
262,0,0
263,0,0
264,0,0
265,0,0
266,0,0
267,0,0
268,0,0
269,0,0
270,0,0
271,0,0
272,0,0
273,0,0
274,0,0
275,0,0
276,0,0
277,0,0
278,0,0
279,0,0
280,0,0
281,0,0
