CONF_TCPTP_DELAY_PLR
@1@_1.1_68_0
@2@_1.7_75_0
@3@_2.1_87_0
@4@_2.7_60_0
@5@_3.5_31_0
@6@_4.0_15_0
@7@_5.4_10_0
@8@_7.5_50_0
@9@_11.9_12_0
@10@_15.2_11_0
@11@_22.6_9_0
@12@_27.3_9_0
@13@_34_6_0
@14@_46_1_0
@15@_71.5_6_0
@16@_95.0_2_0
@17@_1.1_110_0
@18@_1.7_105_0
@19@_2.1_90_0
@20@_2.7_85_0
@21@_3.5_80_0
@22@_4.0_71_0
@23@_5.4_75_0
@24@_7.5_68_0
@25@_7.5_40_0
@26@_11.9_35_0
@27@_15.2_24_0
@28@_22.6_22_0
@29@_27.3_15_0
@30@_34.0_19_0
@31@_46.0_29_0
@32@_95.0_23_0
@33@_1.1_28_5
@34@_1.7_115_4
@35@_2.1_122_3
@36@_2.7_110_2
@37@_3.5_120_1
@38@_4.0_98_0
@39@_5.4_102_13
@40@_7.5_100_4
@41@_11.9_92_3
@42@_15.2_102_2
@43@_22.6_83_1
@44@_27.3_98_3
@45@_34.0_102_4
@46@_46.0_130_3
@47@_71.5_95_2
@48@_95.0_78_1
